Samples,DEPTH,VP,VS,GR,NPHI,RHO,SW,SWX,VPVS,IP,IS,VSH,RHOm,RHOfluid,PHI,LFC
273,2.24E+03,2.28E+03,8.55E+02,7.83E+01,3.98E-01,2.17E+00,9.24E-01,9.53E-01,2.67E+00,4.94E+03,1.85E+03,3.39E-01,2.70E+00,1.07E+00,3.27E-01,4.00E+00
274,2.23E+03,3.07E+03,1.51E+03,6.69E+01,2.98E-01,2.20E+00,1.00E+00,1.00E+00,2.04E+00,6.75E+03,3.32E+03,2.11E-01,2.68E+00,1.09E+00,3.04E-01,4.00E+00
275,2.13E+03,2.21E+03,8.17E+02,1.24E+02,4.53E-01,2.23E+00,1.00E+00,1.00E+00,2.71E+00,4.93E+03,1.82E+03,8.59E-01,2.79E+00,1.09E+00,3.31E-01,4.00E+00
276,2.39E+03,3.01E+03,1.36E+03,6.08E+01,3.11E-01,2.16E+00,1.00E+00,1.00E+00,2.20E+00,6.50E+03,2.95E+03,1.41E-01,2.67E+00,1.09E+00,3.23E-01,1.00E+00
277,2.28E+03,3.18E+03,1.55E+03,6.13E+01,2.80E-01,2.20E+00,1.00E+00,1.00E+00,2.06E+00,7.01E+03,3.40E+03,1.47E-01,2.67E+00,1.09E+00,2.99E-01,1.00E+00
278,2.11E+03,2.40E+03,9.83E+02,1.03E+02,4.07E-01,2.28E+00,1.00E+00,1.00E+00,2.44E+00,5.47E+03,2.24E+03,6.22E-01,2.75E+00,1.09E+00,2.84E-01,4.00E+00
279,2.31E+03,3.26E+03,1.62E+03,5.99E+01,2.85E-01,2.19E+00,1.00E+00,1.00E+00,2.01E+00,7.13E+03,3.55E+03,1.31E-01,2.67E+00,1.09E+00,3.06E-01,1.00E+00
280,2.38E+03,3.08E+03,1.41E+03,6.53E+01,2.97E-01,2.17E+00,1.00E+00,1.00E+00,2.18E+00,6.67E+03,3.06E+03,1.92E-01,2.68E+00,1.09E+00,3.23E-01,1.00E+00
281,2.17E+03,2.78E+03,1.46E+03,6.36E+01,3.02E-01,2.13E+00,2.62E-01,8.84E-01,1.90E+00,5.92E+03,3.11E+03,1.73E-01,2.68E+00,8.61E-01,3.02E-01,2.00E+00
282,2.37E+03,3.06E+03,1.48E+03,7.66E+01,3.05E-01,2.22E+00,1.00E+00,1.00E+00,2.07E+00,6.79E+03,3.28E+03,3.21E-01,2.70E+00,1.09E+00,3.00E-01,4.00E+00
